product_id,warehouse_id,inventory_date,stock_quantity
PROD0490,WH-FTW-01,2026-07-09,305
PROD0210,WH-FTW-01,2026-07-11,660
PROD0159,WH-DAL-01,2026-07-24,931
PROD0349,WH-DAL-01,2026-07-04,120
PROD0485,WH-FTW-01,2026-08-02,675
PROD0258,WH-HOU-01,2026-07-31,780
PROD0340,WH-DAL-01,2026-07-24,719
PROD0360,WH-AUS-01,2026-07-02,336
PROD0199,WH-DAL-01,2026-07-06,361
PROD0110,WH-AUS-01,2026-08-02,582
PROD0370,WH-AUS-01,2026-07-03,847
PROD0026,WH-AUS-01,2026-08-05,927
PROD0439,WH-FTW-01,2026-08-02,53
PROD0050,WH-DAL-01,2026-07-04,165
PROD0485,WH-HOU-01,2026-08-07,355
PROD0014,WH-AUS-01,2026-07-24,618
PROD0437,WH-DAL-01,2026-07-07,653
PROD0150,WH-DAL-01,2026-08-10,591
PROD0362,WH-AUS-01,2026-07-06,394
PROD0304,WH-AUS-01,2026-07-08,589
PROD0114,WH-FTW-01,2026-07-11,415
PROD0271,WH-DAL-01,2026-07-05,957
PROD0297,WH-FTW-01,2026-07-12,972
PROD0404,WH-AUS-01,2026-07-31,64
PROD0346,WH-DAL-01,2026-07-20,550
PROD0176,WH-DAL-01,2026-07-15,614
PROD0106,WH-DAL-01,2026-07-01,760
PROD0149,WH-DAL-01,2026-08-03,349
PROD0415,WH-HOU-01,2026-07-23,279
PROD0174,WH-HOU-01,2026-07-26,976
PROD0033,WH-AUS-01,2026-07-18,78
PROD0296,WH-FTW-01,2026-07-06,168
PROD0069,WH-HOU-01,2026-08-08,478
PROD0109,WH-HOU-01,2026-07-23,733
PROD0222,WH-DAL-01,2026-07-24,755
PROD0417,WH-FTW-01,2026-07-06,41
PROD0444,WH-AUS-01,2026-08-13,358
PROD0023,WH-FTW-01,2026-07-18,324
PROD0405,WH-FTW-01,2026-07-20,712
PROD0423,WH-AUS-01,2026-08-13,123
PROD0287,WH-DAL-01,2026-08-09,99
PROD0123,WH-DAL-01,2026-07-17,67
PROD0350,WH-HOU-01,2026-08-05,323
PROD0199,WH-AUS-01,2026-08-14,832
PROD0020,WH-HOU-01,2026-07-03,625
PROD0449,WH-FTW-01,2026-08-11,317
PROD0272,WH-FTW-01,2026-08-13,343
PROD0165,WH-AUS-01,2026-07-26,991
PROD0152,WH-HOU-01,2026-08-02,114
PROD0429,WH-HOU-01,2026-08-11,741
PROD0162,WH-FTW-01,2026-07-17,586
PROD0340,WH-DAL-01,2026-07-26,825
PROD0467,WH-HOU-01,2026-07-13,278
PROD0373,WH-FTW-01,2026-07-23,10
PROD0264,WH-AUS-01,2026-07-30,857
PROD0075,WH-DAL-01,2026-07-04,627
PROD0480,WH-DAL-01,2026-07-08,517
PROD0323,WH-FTW-01,2026-07-31,468
PROD0314,WH-HOU-01,2026-07-08,233
PROD0051,WH-AUS-01,2026-07-04,814
PROD0232,WH-FTW-01,2026-07-25,82
PROD0424,WH-AUS-01,2026-07-15,730
PROD0403,WH-HOU-01,2026-08-03,155
PROD0447,WH-AUS-01,2026-08-02,961
PROD0218,WH-HOU-01,2026-08-09,359
PROD0180,WH-FTW-01,2026-07-27,482
PROD0132,WH-AUS-01,2026-07-18,505
PROD0484,WH-AUS-01,2026-07-27,279
PROD0345,WH-DAL-01,2026-07-15,849
PROD0289,WH-AUS-01,2026-07-04,710
PROD0462,WH-HOU-01,2026-07-06,41
PROD0455,WH-FTW-01,2026-07-28,499
PROD0026,WH-FTW-01,2026-08-10,238
PROD0272,WH-HOU-01,2026-07-14,267
PROD0051,WH-DAL-01,2026-07-05,616
PROD0249,WH-HOU-01,2026-07-06,125
PROD0396,WH-HOU-01,2026-07-15,756
PROD0351,WH-DAL-01,2026-08-02,906
PROD0088,WH-AUS-01,2026-07-05,437
PROD0123,WH-HOU-01,2026-08-07,49
PROD0392,WH-FTW-01,2026-07-16,156
PROD0101,WH-AUS-01,2026-07-01,597
PROD0012,WH-AUS-01,2026-07-07,827
PROD0164,WH-HOU-01,2026-07-04,693
PROD0206,WH-DAL-01,2026-07-22,258
PROD0211,WH-AUS-01,2026-07-30,791
PROD0236,WH-FTW-01,2026-07-13,694
PROD0202,WH-DAL-01,2026-07-27,220
PROD0080,WH-AUS-01,2026-07-30,757
PROD0495,WH-DAL-01,2026-07-12,101
PROD0459,WH-AUS-01,2026-07-04,114
PROD0235,WH-AUS-01,2026-07-11,346
PROD0254,WH-AUS-01,2026-08-10,48
PROD0432,WH-AUS-01,2026-07-17,958
PROD0033,WH-AUS-01,2026-07-09,361
PROD0357,WH-FTW-01,2026-07-15,295
PROD0008,WH-HOU-01,2026-07-05,127
PROD0027,WH-HOU-01,2026-07-07,60
PROD0030,WH-FTW-01,2026-07-10,97
PROD0012,WH-FTW-01,2026-07-31,78
PROD0476,WH-HOU-01,2026-07-04,209
PROD0013,WH-HOU-01,2026-07-13,586
PROD0329,WH-FTW-01,2026-08-11,855
PROD0363,WH-HOU-01,2026-08-01,270
PROD0089,WH-AUS-01,2026-07-02,746
PROD0025,WH-HOU-01,2026-08-02,598
PROD0428,WH-AUS-01,2026-08-14,332
PROD0080,WH-HOU-01,2026-07-07,3
PROD0074,WH-DAL-01,2026-07-18,482
PROD0473,WH-HOU-01,2026-07-02,250
PROD0390,WH-AUS-01,2026-08-07,680
PROD0296,WH-DAL-01,2026-08-06,135
PROD0443,WH-AUS-01,2026-08-06,252
PROD0031,WH-AUS-01,2026-07-12,221
PROD0385,WH-HOU-01,2026-07-07,911
PROD0142,WH-FTW-01,2026-07-12,966
PROD0116,WH-FTW-01,2026-07-14,856
PROD0334,WH-AUS-01,2026-07-24,146
PROD0334,WH-DAL-01,2026-08-02,656
PROD0497,WH-AUS-01,2026-07-10,541
PROD0303,WH-FTW-01,2026-07-06,805
PROD0352,WH-DAL-01,2026-07-28,654
PROD0373,WH-AUS-01,2026-07-01,91
PROD0183,WH-DAL-01,2026-08-07,548
PROD0473,WH-DAL-01,2026-08-09,339
PROD0400,WH-AUS-01,2026-08-07,663
PROD0180,WH-DAL-01,2026-07-03,510
PROD0250,WH-HOU-01,2026-07-29,898
PROD0497,WH-HOU-01,2026-08-07,513
PROD0202,WH-FTW-01,2026-08-05,903
PROD0309,WH-HOU-01,2026-07-06,555
PROD0240,WH-DAL-01,2026-07-04,781
PROD0176,WH-HOU-01,2026-08-11,560
PROD0142,WH-DAL-01,2026-07-15,460
PROD0346,WH-HOU-01,2026-07-27,905
PROD0041,WH-AUS-01,2026-07-12,962
PROD0480,WH-FTW-01,2026-07-26,15
PROD0049,WH-FTW-01,2026-07-27,792
PROD0233,WH-DAL-01,2026-07-16,922
PROD0179,WH-HOU-01,2026-08-06,336
PROD0396,WH-FTW-01,2026-07-14,349
PROD0265,WH-HOU-01,2026-08-01,595
PROD0210,WH-AUS-01,2026-08-14,978
PROD0194,WH-HOU-01,2026-08-13,576
PROD0133,WH-HOU-01,2026-07-20,237
PROD0450,WH-AUS-01,2026-07-13,346
PROD0214,WH-AUS-01,2026-08-06,188
PROD0130,WH-AUS-01,2026-08-06,471
PROD0322,WH-AUS-01,2026-08-04,956
PROD0115,WH-DAL-01,2026-08-08,297
PROD0217,WH-DAL-01,2026-07-11,877
PROD0021,WH-HOU-01,2026-07-05,860
PROD0156,WH-AUS-01,2026-07-09,340
PROD0443,WH-AUS-01,2026-07-06,623
PROD0429,WH-HOU-01,2026-08-10,613
PROD0204,WH-AUS-01,2026-07-30,733
PROD0180,WH-HOU-01,2026-07-29,914
PROD0173,WH-FTW-01,2026-07-23,767
PROD0414,WH-HOU-01,2026-07-26,280
PROD0461,WH-FTW-01,2026-07-22,612
PROD0217,WH-DAL-01,2026-07-21,524
PROD0196,WH-AUS-01,2026-07-06,994
PROD0143,WH-FTW-01,2026-07-23,509
PROD0416,WH-AUS-01,2026-07-22,727
PROD0385,WH-AUS-01,2026-07-18,116
PROD0313,WH-HOU-01,2026-08-08,557
PROD0348,WH-HOU-01,2026-07-18,498
PROD0182,WH-HOU-01,2026-07-30,795
PROD0278,WH-AUS-01,2026-08-02,599
PROD0287,WH-HOU-01,2026-07-06,778
PROD0095,WH-AUS-01,2026-07-19,570
PROD0264,WH-DAL-01,2026-07-12,492
PROD0224,WH-FTW-01,2026-08-06,832
PROD0476,WH-FTW-01,2026-07-18,217
PROD0333,WH-FTW-01,2026-08-13,590
PROD0447,WH-DAL-01,2026-07-14,83
PROD0483,WH-FTW-01,2026-07-12,823
PROD0399,WH-HOU-01,2026-07-04,717
PROD0205,WH-FTW-01,2026-08-06,520
PROD0384,WH-HOU-01,2026-07-07,955
PROD0477,WH-HOU-01,2026-08-02,173
PROD0175,WH-HOU-01,2026-08-07,988
PROD0056,WH-DAL-01,2026-08-03,21
PROD0108,WH-FTW-01,2026-08-14,415
PROD0124,WH-AUS-01,2026-07-10,808
PROD0350,WH-HOU-01,2026-07-14,681
PROD0369,WH-DAL-01,2026-07-14,180
PROD0064,WH-HOU-01,2026-07-12,206
PROD0152,WH-HOU-01,2026-07-09,282
PROD0143,WH-AUS-01,2026-07-07,698
PROD0232,WH-AUS-01,2026-07-16,484
PROD0415,WH-AUS-01,2026-07-05,524
PROD0345,WH-DAL-01,2026-08-08,221
PROD0192,WH-DAL-01,2026-07-28,170
PROD0296,WH-HOU-01,2026-08-09,366
PROD0124,WH-DAL-01,2026-08-09,10
PROD0467,WH-DAL-01,2026-07-07,905
PROD0039,WH-FTW-01,2026-08-04,723
PROD0312,WH-FTW-01,2026-08-01,434
PROD0265,WH-AUS-01,2026-07-14,877
PROD0002,WH-FTW-01,2026-07-17,692
PROD0303,WH-DAL-01,2026-07-21,720
PROD0202,WH-DAL-01,2026-08-01,457
PROD0316,WH-AUS-01,2026-07-01,18
PROD0014,WH-HOU-01,2026-08-10,486
PROD0064,WH-AUS-01,2026-07-02,51
PROD0494,WH-HOU-01,2026-08-04,572
PROD0303,WH-HOU-01,2026-07-29,830
PROD0002,WH-DAL-01,2026-07-27,213
PROD0483,WH-HOU-01,2026-08-07,190
PROD0433,WH-DAL-01,2026-07-28,707
PROD0395,WH-FTW-01,2026-07-26,437
PROD0406,WH-AUS-01,2026-07-07,473
PROD0265,WH-DAL-01,2026-07-20,245
PROD0049,WH-HOU-01,2026-08-06,253
PROD0301,WH-HOU-01,2026-08-12,737
PROD0115,WH-FTW-01,2026-08-03,433
PROD0170,WH-HOU-01,2026-08-14,234
PROD0255,WH-FTW-01,2026-08-01,86
PROD0044,WH-FTW-01,2026-07-17,71
PROD0320,WH-FTW-01,2026-07-16,895
PROD0062,WH-AUS-01,2026-07-02,710
PROD0454,WH-HOU-01,2026-07-19,33
PROD0205,WH-HOU-01,2026-07-31,56
PROD0128,WH-DAL-01,2026-08-09,800
PROD0353,WH-AUS-01,2026-08-10,954
PROD0291,WH-FTW-01,2026-07-24,123
PROD0179,WH-HOU-01,2026-07-27,978
PROD0242,WH-FTW-01,2026-07-25,614
PROD0261,WH-DAL-01,2026-07-04,64
PROD0312,WH-FTW-01,2026-08-01,936
PROD0483,WH-HOU-01,2026-07-10,295
PROD0166,WH-HOU-01,2026-07-22,361
PROD0420,WH-HOU-01,2026-07-18,642
PROD0392,WH-FTW-01,2026-08-11,969
PROD0084,WH-HOU-01,2026-07-29,773
PROD0018,WH-AUS-01,2026-07-20,89
PROD0458,WH-FTW-01,2026-07-11,963
PROD0050,WH-FTW-01,2026-08-02,380
PROD0236,WH-AUS-01,2026-08-12,913
PROD0220,WH-AUS-01,2026-07-17,881
PROD0060,WH-AUS-01,2026-08-06,720
PROD0322,WH-HOU-01,2026-08-12,480
PROD0409,WH-AUS-01,2026-08-10,427
PROD0065,WH-HOU-01,2026-07-25,734
PROD0178,WH-HOU-01,2026-07-05,269
PROD0091,WH-FTW-01,2026-08-11,26
PROD0071,WH-FTW-01,2026-07-12,332
PROD0226,WH-AUS-01,2026-07-18,887
PROD0357,WH-AUS-01,2026-07-17,923
PROD0187,WH-AUS-01,2026-07-28,517
PROD0426,WH-FTW-01,2026-07-19,118
PROD0330,WH-FTW-01,2026-08-02,36
PROD0100,WH-AUS-01,2026-07-17,546
PROD0373,WH-AUS-01,2026-07-14,557
PROD0291,WH-HOU-01,2026-08-04,645
PROD0102,WH-HOU-01,2026-07-09,797
PROD0202,WH-HOU-01,2026-07-24,893
PROD0189,WH-FTW-01,2026-07-10,746
PROD0272,WH-AUS-01,2026-08-11,210
PROD0084,WH-DAL-01,2026-08-02,949
PROD0057,WH-FTW-01,2026-07-27,917
PROD0226,WH-AUS-01,2026-08-04,379
PROD0309,WH-DAL-01,2026-07-07,548
PROD0185,WH-DAL-01,2026-07-18,747
PROD0394,WH-AUS-01,2026-07-25,653
PROD0457,WH-DAL-01,2026-07-07,553
PROD0303,WH-DAL-01,2026-07-24,773
PROD0344,WH-DAL-01,2026-07-19,769
PROD0389,WH-AUS-01,2026-08-05,471
PROD0102,WH-HOU-01,2026-07-10,688
PROD0197,WH-FTW-01,2026-07-08,289
PROD0109,WH-FTW-01,2026-08-03,211
PROD0492,WH-FTW-01,2026-07-06,222
PROD0077,WH-AUS-01,2026-07-28,881
PROD0370,WH-DAL-01,2026-08-01,400
PROD0430,WH-FTW-01,2026-07-22,63
PROD0134,WH-DAL-01,2026-08-01,899
PROD0092,WH-AUS-01,2026-07-18,42
PROD0101,WH-FTW-01,2026-07-08,666
PROD0246,WH-FTW-01,2026-07-20,320
PROD0317,WH-FTW-01,2026-07-14,278
PROD0389,WH-HOU-01,2026-07-21,585
PROD0386,WH-DAL-01,2026-07-08,216
PROD0177,WH-FTW-01,2026-07-13,150
PROD0412,WH-DAL-01,2026-07-26,149
PROD0061,WH-AUS-01,2026-07-09,964
PROD0083,WH-AUS-01,2026-08-05,607
PROD0428,WH-DAL-01,2026-07-22,452
PROD0388,WH-HOU-01,2026-07-18,659
PROD0057,WH-HOU-01,2026-07-31,584
PROD0412,WH-HOU-01,2026-07-30,687
PROD0090,WH-DAL-01,2026-08-12,716
PROD0342,WH-FTW-01,2026-07-11,80
PROD0308,WH-AUS-01,2026-07-15,314
PROD0278,WH-DAL-01,2026-07-21,144
PROD0434,WH-FTW-01,2026-07-31,696
PROD0082,WH-HOU-01,2026-07-17,597
PROD0102,WH-HOU-01,2026-07-04,848
PROD0010,WH-FTW-01,2026-07-01,319
PROD0309,WH-FTW-01,2026-07-13,813
PROD0292,WH-FTW-01,2026-07-15,111
PROD0318,WH-DAL-01,2026-08-10,37
PROD0126,WH-AUS-01,2026-08-05,387
PROD0009,WH-AUS-01,2026-08-14,875
PROD0022,WH-FTW-01,2026-08-07,31
PROD0214,WH-AUS-01,2026-07-03,560
PROD0410,WH-AUS-01,2026-07-13,498
PROD0322,WH-DAL-01,2026-07-27,542
PROD0440,WH-AUS-01,2026-07-05,577
PROD0367,WH-HOU-01,2026-07-19,32
PROD0243,WH-FTW-01,2026-08-08,486
PROD0390,WH-AUS-01,2026-07-21,582
PROD0014,WH-DAL-01,2026-08-11,20
PROD0153,WH-FTW-01,2026-08-05,761
PROD0432,WH-FTW-01,2026-07-28,101
PROD0218,WH-AUS-01,2026-07-17,220
PROD0497,WH-FTW-01,2026-07-23,659
PROD0381,WH-FTW-01,2026-07-15,497
PROD0123,WH-HOU-01,2026-07-18,910
PROD0339,WH-AUS-01,2026-07-25,919
PROD0040,WH-HOU-01,2026-08-08,9
PROD0290,WH-FTW-01,2026-07-24,455
PROD0006,WH-FTW-01,2026-07-02,746
PROD0002,WH-FTW-01,2026-07-26,765
PROD0376,WH-HOU-01,2026-07-17,724
PROD0340,WH-DAL-01,2026-08-04,492
PROD0389,WH-HOU-01,2026-08-14,53
PROD0241,WH-HOU-01,2026-07-03,277
PROD0091,WH-HOU-01,2026-07-08,333
PROD0015,WH-HOU-01,2026-07-22,882
PROD0356,WH-FTW-01,2026-07-03,499
PROD0265,WH-HOU-01,2026-07-06,892
PROD0346,WH-HOU-01,2026-07-01,498
PROD0135,WH-DAL-01,2026-07-03,542
PROD0153,WH-HOU-01,2026-07-14,888
PROD0037,WH-HOU-01,2026-07-17,604
PROD0156,WH-FTW-01,2026-08-02,525
PROD0173,WH-DAL-01,2026-07-29,17
PROD0129,WH-FTW-01,2026-08-07,743
PROD0452,WH-FTW-01,2026-07-10,60
PROD0294,WH-HOU-01,2026-08-08,262
PROD0485,WH-FTW-01,2026-08-08,653
PROD0046,WH-FTW-01,2026-08-11,435
PROD0092,WH-DAL-01,2026-08-05,623
PROD0011,WH-HOU-01,2026-07-21,687
PROD0280,WH-HOU-01,2026-08-02,849
PROD0241,WH-AUS-01,2026-08-01,326
PROD0225,WH-HOU-01,2026-07-13,969
PROD0490,WH-FTW-01,2026-07-25,370
PROD0010,WH-DAL-01,2026-07-02,255
PROD0333,WH-AUS-01,2026-08-05,733
PROD0002,WH-AUS-01,2026-07-13,917
PROD0244,WH-FTW-01,2026-07-02,65
PROD0162,WH-AUS-01,2026-07-02,371
PROD0500,WH-HOU-01,2026-07-29,424
PROD0457,WH-DAL-01,2026-07-09,246
PROD0257,WH-HOU-01,2026-07-30,658
PROD0370,WH-FTW-01,2026-08-03,369
PROD0163,WH-FTW-01,2026-08-05,42
PROD0196,WH-FTW-01,2026-08-08,967
PROD0056,WH-FTW-01,2026-07-26,118
PROD0377,WH-FTW-01,2026-08-02,676
PROD0283,WH-HOU-01,2026-08-01,279
PROD0093,WH-FTW-01,2026-07-28,983
PROD0258,WH-AUS-01,2026-07-20,461
PROD0259,WH-HOU-01,2026-07-12,954
PROD0310,WH-DAL-01,2026-07-16,797
PROD0018,WH-FTW-01,2026-07-02,699
PROD0467,WH-AUS-01,2026-07-28,693
PROD0266,WH-HOU-01,2026-07-16,447
PROD0087,WH-HOU-01,2026-07-29,502
PROD0363,WH-FTW-01,2026-07-11,3
PROD0176,WH-AUS-01,2026-07-27,956
PROD0404,WH-FTW-01,2026-08-14,577
PROD0157,WH-AUS-01,2026-07-02,29
PROD0261,WH-FTW-01,2026-08-14,713
PROD0127,WH-HOU-01,2026-08-08,414
PROD0492,WH-HOU-01,2026-07-14,873
PROD0492,WH-DAL-01,2026-07-10,255
PROD0373,WH-FTW-01,2026-07-25,623
PROD0368,WH-DAL-01,2026-07-19,476
PROD0029,WH-DAL-01,2026-07-20,752
PROD0238,WH-AUS-01,2026-07-31,695
PROD0244,WH-AUS-01,2026-08-01,406
PROD0470,WH-AUS-01,2026-07-22,696
PROD0204,WH-AUS-01,2026-07-14,174
PROD0371,WH-AUS-01,2026-07-17,265
PROD0269,WH-FTW-01,2026-08-10,227
PROD0345,WH-FTW-01,2026-08-11,466
PROD0128,WH-FTW-01,2026-08-13,83
PROD0279,WH-AUS-01,2026-08-03,930
PROD0222,WH-AUS-01,2026-07-10,617
PROD0101,WH-HOU-01,2026-07-22,44
PROD0342,WH-FTW-01,2026-07-17,341
PROD0301,WH-AUS-01,2026-08-04,114
PROD0102,WH-HOU-01,2026-07-28,386
PROD0198,WH-FTW-01,2026-08-03,767
PROD0369,WH-FTW-01,2026-07-22,781
PROD0001,WH-AUS-01,2026-07-08,0
PROD0006,WH-FTW-01,2026-07-10,43
PROD0217,WH-AUS-01,2026-07-18,991
PROD0202,WH-AUS-01,2026-08-09,2
PROD0109,WH-AUS-01,2026-08-04,405
PROD0171,WH-DAL-01,2026-07-22,618
PROD0073,WH-AUS-01,2026-08-05,751
PROD0082,WH-HOU-01,2026-08-03,983
PROD0305,WH-HOU-01,2026-08-13,728
PROD0375,WH-HOU-01,2026-08-06,482
PROD0229,WH-AUS-01,2026-07-26,991
PROD0160,WH-DAL-01,2026-07-22,585
PROD0117,WH-DAL-01,2026-08-08,921
