order_id,customer_id,order_date,status,total_amount,payment_method
ORD000040,CUST02705,2026-06-15,Shipped,144.1,PayPal
ORD000041,CUST03649,2026-05-27,Completed,43.15,Apple Pay
ORD000042,CUST01106,2026-05-12,Shipped,39.91,PayPal
ORD000043,CUST03412,2026-03-17,Completed,84.7,Google Pay
ORD000044,CUST02489,2026-03-30,Cancelled,35.36,Google Pay
ORD000045,CUST00617,2026-04-08,Cancelled,82.12,Credit Card
ORD000046,CUST04322,2026-03-22,Completed,33.14,Apple Pay
ORD000047,CUST02419,2026-07-05,Shipped,72.39,Google Pay
ORD000048,CUST00028,2026-03-11,Completed,48.24,Google Pay
ORD000049,CUST03056,2026-01-12,Completed,65.35,Google Pay
ORD000050,CUST00016,2026-05-07,Processing,106.08,Credit Card
ORD000051,CUST03349,2026-03-20,Processing,56.46,Debit Card
ORD000052,CUST00333,2026-05-25,Completed,80.08,Debit Card
ORD000053,CUST04579,2026-05-09,Completed,37.17,Debit Card
ORD000054,CUST04662,2026-01-14,Completed,41.13,Credit Card
ORD000055,CUST02162,2026-04-29,Completed,28.01,Debit Card
ORD000056,CUST02086,2026-01-02,Cancelled,57.76,PayPal
ORD000057,CUST04550,2026-01-04,Cancelled,74.06,Credit Card
ORD000058,CUST03954,2026-03-07,Processing,79.07,Credit Card
ORD000059,CUST02790,2026-03-31,Processing,197.91,Apple Pay
ORD000060,CUST04262,2026-06-23,Processing,84.2,Google Pay
ORD000061,CUST02253,2026-06-27,Shipped,44.58,Apple Pay
ORD000062,CUST04974,2026-03-01,Shipped,307.56,Debit Card
ORD000063,CUST00245,2026-06-29,Processing,34.8,Credit Card
ORD000064,CUST01895,2026-04-07,Completed,69.41,Credit Card
ORD000065,CUST01357,2026-06-25,Shipped,131.34,Debit Card
ORD000066,CUST00943,2026-06-16,Cancelled,89.16,Google Pay
ORD000067,CUST03468,2026-05-07,Shipped,13.99,Apple Pay
ORD000068,CUST03193,2026-07-17,Shipped,96.96,Google Pay
ORD000069,CUST01746,2026-03-01,Shipped,41.08,Debit Card
ORD000070,CUST04506,2026-06-07,Completed,35.41,Apple Pay
ORD000071,CUST02358,2026-08-02,Shipped,18.62,Apple Pay
ORD000072,CUST03880,2026-06-04,Completed,67.25,Google Pay
ORD000073,CUST03778,2026-03-24,Completed,43.95,Google Pay
ORD000074,CUST02116,2026-03-15,Cancelled,76.64,Credit Card
ORD000075,CUST02268,2026-02-24,Cancelled,32.64,Credit Card
ORD000076,CUST02268,2026-07-17,Shipped,736.57,Google Pay
ORD000077,CUST01497,2026-01-26,Completed,45.36,Debit Card
ORD000078,CUST02797,2026-06-19,Completed,135.99,Google Pay
ORD000079,CUST04482,2026-05-01,Cancelled,134.13,Credit Card
ORD000080,CUST00930,2026-03-08,Shipped,119.34,Apple Pay
ORD000081,CUST03325,2026-04-26,Completed,33.1,Debit Card
ORD000082,CUST04501,2026-03-08,Processing,231.35,Credit Card
ORD000083,CUST04588,2026-06-29,Cancelled,73.44,Debit Card
ORD000084,CUST00357,2026-01-06,Shipped,79.72,Debit Card
ORD000085,CUST04311,2026-04-24,Completed,57.08,Apple Pay
ORD000086,CUST04065,2026-01-10,Completed,60.62,Credit Card
ORD000087,CUST03842,2026-02-07,Cancelled,62.45,Google Pay
ORD000088,CUST03931,2026-05-04,Completed,20.57,Debit Card
ORD000089,CUST04848,2026-03-18,Completed,72.27,Debit Card
ORD000090,CUST00827,2026-04-12,Shipped,105.59,Apple Pay
ORD000091,CUST00666,2026-01-12,Cancelled,40.43,Credit Card
ORD000092,CUST02029,2026-02-15,Cancelled,56.11,Debit Card
ORD000093,CUST03692,2026-02-18,Completed,18.33,Debit Card
ORD000094,CUST02583,2026-04-01,Cancelled,131.18,PayPal
ORD000095,CUST00554,2026-05-04,Completed,179.72,PayPal
ORD000096,CUST00328,2026-03-13,Cancelled,70.32,Debit Card
ORD000097,CUST01189,2026-07-10,Completed,77.25,Apple Pay
ORD000098,CUST00150,2026-07-16,Processing,74.14,Google Pay
ORD000099,CUST04753,2026-04-12,Processing,101.91,PayPal
ORD000100,CUST02854,2026-02-12,Shipped,71.94,PayPal
ORD000101,CUST01937,2026-08-10,Completed,123.52,Credit Card
ORD000102,CUST04389,2026-03-01,Completed,97.61,Google Pay
ORD000103,CUST02737,2026-04-11,Completed,103.42,PayPal
ORD000104,CUST00957,2026-06-06,Shipped,78.95,Google Pay
ORD000105,CUST03249,2026-03-27,Completed,99.68,Google Pay
ORD000106,CUST00416,2026-07-25,Cancelled,35.33,Credit Card
ORD000107,CUST03455,2026-05-06,Completed,15.81,Debit Card
ORD000108,CUST02646,2026-07-21,Shipped,57.04,Debit Card
ORD000109,CUST03775,2026-01-11,Completed,221.81,PayPal
ORD000110,CUST00085,2026-02-04,Completed,95.97,Credit Card
ORD000111,CUST01936,2026-01-23,Cancelled,101.05,PayPal
ORD000112,CUST01417,2026-07-19,Shipped,29.81,PayPal
ORD000113,CUST01071,2026-05-29,Cancelled,82.59,Debit Card
ORD000114,CUST03413,2026-06-14,Cancelled,28.06,Credit Card
ORD000115,CUST01522,2026-01-28,Cancelled,59.66,Google Pay
ORD000116,CUST01502,2026-04-26,Completed,50.22,Debit Card
ORD000117,CUST04092,2026-04-05,Processing,83.56,PayPal
ORD000118,CUST02474,2026-02-27,Completed,61.74,PayPal
ORD000119,CUST00736,2026-02-22,Cancelled,112.81,Apple Pay
ORD000120,CUST02839,2026-01-28,Processing,124.05,Credit Card
ORD000121,CUST02563,2026-02-11,Shipped,142.6,Google Pay
ORD000122,CUST03907,2026-08-07,Completed,500.24,Google Pay
ORD000123,CUST01273,2026-03-26,Completed,35.52,PayPal
ORD000124,CUST04837,2026-07-20,Completed,45.39,Apple Pay
ORD000125,CUST01863,2026-04-03,Completed,46.21,Apple Pay
ORD000126,CUST04227,2026-05-04,Shipped,15.54,Credit Card
ORD000127,CUST01764,2026-07-08,Shipped,73.55,PayPal
ORD000128,CUST04419,2026-07-26,Processing,56.39,PayPal
ORD000129,CUST00823,2026-06-10,Shipped,135.34,PayPal
ORD000130,CUST00543,2026-07-02,Completed,114.4,Credit Card
ORD000131,CUST02766,2026-06-14,Shipped,82.5,Google Pay
ORD000132,CUST02079,2026-02-16,Processing,72.95,Debit Card
ORD000133,CUST00885,2026-06-13,Shipped,40.79,Apple Pay
ORD000134,CUST04287,2026-04-25,Shipped,69.27,Google Pay
ORD000135,CUST03650,2026-06-05,Completed,78.85,Debit Card
ORD000136,CUST04511,2026-01-10,Shipped,59.23,Google Pay
ORD000137,CUST03572,2026-01-23,Completed,59.52,Google Pay
ORD000138,CUST03934,2026-08-08,Processing,66.64,Google Pay
ORD000139,CUST03667,2026-08-14,Processing,69.94,Google Pay
ORD000140,CUST01722,2026-01-05,Processing,113.36,PayPal
ORD000141,CUST00375,2026-03-23,Shipped,9.67,Google Pay
ORD000142,CUST00558,2026-04-29,Completed,73.41,Debit Card
ORD000143,CUST01281,2026-01-06,Cancelled,72.5,Debit Card
ORD000144,CUST03424,2026-05-05,Cancelled,109.33,Apple Pay
ORD000145,CUST01129,2026-06-19,Processing,56.19,Credit Card
ORD000146,CUST01361,2026-02-16,Completed,13.92,Debit Card
ORD000147,CUST03598,2026-08-03,Cancelled,16.91,Debit Card
ORD000148,CUST01101,2026-01-28,Cancelled,14.07,Debit Card
ORD000149,CUST01535,2026-01-13,Completed,122.76,Debit Card
ORD000150,CUST02626,2026-01-25,Completed,22.06,Credit Card
ORD000151,CUST04128,2026-01-07,Completed,152.0,Credit Card
ORD000152,CUST01632,2026-07-13,Processing,46.54,Google Pay
ORD000153,CUST00058,2026-03-21,Completed,51.95,Debit Card
ORD000154,CUST01128,2026-07-05,Completed,204.46,Debit Card
ORD000155,CUST00312,2026-03-07,Cancelled,73.5,Apple Pay
ORD000156,CUST03718,2026-02-05,Completed,23.21,Apple Pay
ORD000157,CUST02002,2026-01-02,Completed,65.68,Apple Pay
ORD000158,CUST02738,2026-04-23,Shipped,118.14,Apple Pay
ORD000159,CUST03878,2026-02-07,Processing,41.55,Google Pay
ORD000160,CUST02283,2026-07-21,Cancelled,216.19,PayPal
ORD000161,CUST03184,2026-01-14,Cancelled,25.18,Apple Pay
ORD000162,CUST01432,2026-06-04,Processing,13.8,Apple Pay
ORD000163,CUST03126,2026-05-23,Completed,204.41,Credit Card
ORD000164,CUST04898,2026-03-26,Shipped,33.29,Debit Card
ORD000165,CUST04335,2026-05-20,Cancelled,30.51,Google Pay
ORD000166,CUST01776,2026-04-25,Shipped,42.47,Debit Card
ORD000167,CUST01319,2026-06-20,Shipped,30.53,PayPal
ORD000168,CUST04208,2026-04-07,Processing,113.24,Google Pay
ORD000169,CUST03160,2026-07-04,Processing,43.58,PayPal
ORD000170,CUST01329,2026-03-27,Cancelled,26.24,Debit Card
ORD000171,CUST04386,2026-04-12,Cancelled,49.82,Credit Card
ORD000172,CUST03975,2026-06-25,Cancelled,31.99,Apple Pay
ORD000173,CUST04678,2026-07-08,Completed,58.69,Debit Card
ORD000174,CUST04466,2026-03-23,Processing,30.94,Google Pay
ORD000175,CUST00220,2026-02-13,Processing,52.65,Apple Pay
ORD000176,CUST03303,2026-06-29,Completed,53.55,Google Pay
ORD000177,CUST02867,2026-07-09,Processing,222.63,PayPal
ORD000178,CUST01897,2026-05-10,Completed,137.63,Google Pay
ORD000179,CUST04445,2026-04-03,Completed,68.1,Credit Card
ORD000180,CUST02303,2026-07-18,Completed,48.72,PayPal
ORD000181,CUST04548,2026-06-08,Cancelled,48.29,Debit Card
ORD000182,CUST04185,2026-04-15,Completed,66.01,Apple Pay
ORD000183,CUST04967,2026-05-05,Completed,33.53,Apple Pay
ORD000184,CUST03727,2026-07-29,Shipped,46.39,Credit Card
ORD000185,CUST02043,2026-03-14,Processing,50.65,Google Pay
ORD000186,CUST00523,2026-03-13,Completed,59.47,Debit Card
ORD000187,CUST02708,2026-06-10,Completed,67.42,Google Pay
ORD000188,CUST02999,2026-05-13,Completed,100.38,Google Pay
ORD000189,CUST03922,2026-03-19,Completed,115.11,Credit Card
ORD000190,CUST00910,2026-02-27,Shipped,88.24,PayPal
ORD000191,CUST04538,2026-07-24,Completed,204.59,PayPal
ORD000192,CUST04134,2026-05-05,Completed,95.62,Credit Card
ORD000193,CUST01881,2026-01-11,Completed,58.05,Credit Card
ORD000194,CUST03280,2026-07-31,Cancelled,56.96,Credit Card
ORD000195,CUST04306,2026-05-31,Completed,114.14,Google Pay
ORD000196,CUST02561,2026-06-22,Processing,50.82,Google Pay
ORD000197,CUST03073,2026-01-27,Completed,80.22,Debit Card
ORD000198,CUST03827,2026-07-26,Shipped,85.97,Credit Card
ORD000199,CUST04477,2026-08-10,Completed,10.7,Google Pay
ORD000200,CUST02876,2026-02-25,Completed,21.22,PayPal
ORD000201,CUST02907,2026-05-06,Completed,111.17,Credit Card
ORD000202,CUST04490,2026-02-28,Shipped,82.45,PayPal
ORD000203,CUST04492,2026-07-27,Cancelled,8.74,Apple Pay
ORD000204,CUST00545,2026-04-19,Completed,9.05,Debit Card
ORD000205,CUST03098,2026-02-09,Cancelled,166.8,Apple Pay
ORD000206,CUST03626,2026-05-26,Cancelled,95.03,Debit Card
ORD000207,CUST03506,2026-06-28,Completed,158.45,Credit Card
ORD000208,CUST01085,2026-03-02,Cancelled,30.67,Debit Card
ORD000209,CUST00553,2026-05-02,Completed,39.3,Google Pay
ORD000210,CUST01154,2026-04-16,Cancelled,215.72,PayPal
ORD000211,CUST03939,2026-01-23,Processing,80.53,Google Pay
ORD000212,CUST02246,2026-02-05,Shipped,64.01,Credit Card
ORD000213,CUST01687,2026-02-07,Completed,53.95,Apple Pay
ORD000214,CUST00694,2026-03-13,Completed,18.0,PayPal
ORD000215,CUST03791,2026-02-25,Completed,133.13,Credit Card
ORD000216,CUST00498,2026-06-16,Completed,15.13,Google Pay
ORD000217,CUST02096,2026-08-09,Shipped,95.55,Google Pay
ORD000218,CUST00613,2026-03-17,Shipped,63.96,Debit Card
ORD000219,CUST03968,2026-07-29,Cancelled,74.24,Debit Card
ORD000220,CUST00376,2026-07-30,Completed,39.94,Apple Pay
ORD000221,CUST00806,2026-08-13,Completed,167.64,Debit Card
ORD000222,CUST00921,2026-07-16,Cancelled,40.25,Debit Card
ORD000223,CUST04971,2026-06-05,Completed,59.38,Debit Card
ORD000224,CUST03605,2026-08-06,Completed,60.91,Apple Pay
ORD000225,CUST01444,2026-04-17,Completed,47.84,Credit Card
ORD000226,CUST01546,2026-05-29,Completed,80.21,PayPal
ORD000227,CUST01211,2026-03-03,Cancelled,100.01,Credit Card
ORD000228,CUST02081,2026-01-23,Completed,55.87,Credit Card
ORD000229,CUST04688,2026-05-29,Completed,93.68,Credit Card
ORD000230,CUST02149,2026-07-22,Processing,94.59,Google Pay
ORD000231,CUST01509,2026-04-30,Cancelled,79.7,PayPal
ORD000232,CUST00914,2026-05-24,Processing,173.33,PayPal
ORD000233,CUST02781,2026-07-09,Shipped,187.25,Google Pay
ORD000234,CUST00390,2026-08-13,Completed,45.66,Google Pay
ORD000235,CUST04050,2026-08-07,Completed,48.91,Debit Card
ORD000236,CUST04256,2026-03-06,Completed,98.01,Google Pay
ORD000237,CUST04988,2026-04-18,Completed,57.69,Apple Pay
ORD000238,CUST03626,2026-03-21,Shipped,74.99,Google Pay
ORD000239,CUST01071,2026-05-13,Completed,26.57,Debit Card
ORD000240,CUST04792,2026-06-23,Shipped,49.87,Google Pay
ORD000241,CUST04854,2026-03-05,Completed,63.95,Apple Pay
ORD000242,CUST02571,2026-07-29,Processing,31.82,Google Pay
ORD000243,CUST03738,2026-02-10,Completed,18.98,Credit Card
ORD000244,CUST02780,2026-04-08,Cancelled,147.4,PayPal
ORD000245,CUST00339,2026-06-21,Cancelled,20.49,Apple Pay
ORD000246,CUST01977,2026-03-30,Completed,180.04,Apple Pay
ORD000247,CUST03437,2026-04-16,Shipped,133.07,Apple Pay
ORD000248,CUST00795,2026-08-14,Completed,74.9,Credit Card
ORD000249,CUST01723,2026-05-23,Completed,82.76,Credit Card
ORD000250,CUST03220,2026-07-15,Processing,101.78,PayPal
ORD000251,CUST00899,2026-06-28,Processing,45.08,Debit Card
ORD000252,CUST00103,2026-02-23,Completed,46.52,PayPal
ORD000253,CUST02860,2026-07-15,Completed,52.7,Apple Pay
ORD000254,CUST04189,2026-08-05,Shipped,76.84,Apple Pay
ORD000255,CUST01448,2026-03-18,Completed,37.8,Apple Pay
ORD000256,CUST04215,2026-02-11,Completed,42.3,PayPal
ORD000257,CUST02033,2026-06-23,Processing,245.11,Debit Card
ORD000258,CUST04033,2026-01-25,Completed,74.99,Debit Card
ORD000259,CUST03061,2026-03-08,Completed,26.75,PayPal
ORD000260,CUST01535,2026-06-12,Cancelled,109.93,Apple Pay
ORD000261,CUST02848,2026-04-22,Completed,49.51,PayPal
ORD000262,CUST03210,2026-03-14,Completed,39.55,PayPal
ORD000263,CUST04571,2026-07-25,Cancelled,333.32,Google Pay
ORD000264,CUST03464,2026-05-30,Cancelled,63.57,Google Pay
ORD000265,CUST00435,2026-04-22,Processing,34.4,Credit Card
ORD000266,CUST01258,2026-05-17,Completed,40.17,Credit Card
ORD000267,CUST00055,2026-06-01,Completed,66.95,PayPal
ORD000268,CUST00931,2026-01-23,Cancelled,66.64,Google Pay
ORD000269,CUST02800,2026-07-08,Shipped,83.67,Apple Pay
ORD000270,CUST00312,2026-06-14,Shipped,18.24,Credit Card
ORD000271,CUST00957,2026-06-22,Completed,27.63,Apple Pay
ORD000272,CUST04084,2026-01-15,Completed,52.92,Apple Pay
ORD000273,CUST04853,2026-07-04,Completed,41.57,Credit Card
ORD000274,CUST02513,2026-05-07,Processing,28.39,PayPal
ORD000275,CUST01264,2026-01-14,Completed,78.16,Google Pay
ORD000276,CUST02748,2026-02-21,Shipped,83.06,Credit Card
ORD000277,CUST02783,2026-03-25,Completed,201.17,Debit Card
ORD000278,CUST01094,2026-02-05,Completed,98.82,Debit Card
ORD000279,CUST02787,2026-06-04,Completed,84.48,Apple Pay
ORD000280,CUST02816,2026-05-25,Cancelled,53.44,Debit Card
ORD000281,CUST03764,2026-08-06,Completed,403.52,Apple Pay
ORD000282,CUST04036,2026-06-18,Shipped,47.74,Google Pay
ORD000283,CUST04840,2026-01-04,Completed,47.46,Credit Card
ORD000284,CUST02324,2026-05-11,Shipped,118.87,Credit Card
ORD000285,CUST00233,2026-01-19,Shipped,19.67,Google Pay
ORD000286,CUST02102,2026-06-18,Shipped,57.07,Apple Pay
ORD000287,CUST04353,2026-06-17,Processing,64.81,PayPal
ORD000288,CUST02029,2026-02-27,Shipped,45.48,Debit Card
ORD000289,CUST01930,2026-06-16,Shipped,125.76,Google Pay
ORD000290,CUST01459,2026-01-07,Completed,85.22,Debit Card
ORD000291,CUST01649,2026-02-05,Completed,74.22,PayPal
ORD000292,CUST00408,2026-07-30,Completed,63.24,Apple Pay
ORD000293,CUST03341,2026-03-17,Completed,46.96,Debit Card
ORD000294,CUST01978,2026-05-28,Processing,14.1,Apple Pay
ORD000295,CUST02414,2026-04-12,Completed,88.2,PayPal
ORD000296,CUST04938,2026-03-17,Processing,118.08,Apple Pay
ORD000297,CUST01761,2026-06-06,Processing,60.05,PayPal
ORD000298,CUST03598,2026-08-10,Completed,21.19,Credit Card
ORD000299,CUST01379,2026-07-31,Cancelled,42.68,Debit Card
ORD000300,CUST00621,2026-03-09,Completed,43.24,Debit Card
ORD000301,CUST00930,2026-03-07,Completed,43.76,PayPal
ORD000302,CUST00975,2026-02-16,Processing,85.66,PayPal
ORD000303,CUST04488,2026-08-10,Processing,24.13,Google Pay
ORD000304,CUST04448,2026-05-31,Completed,52.69,PayPal
ORD000305,CUST02854,2026-05-14,Processing,53.97,PayPal
ORD000306,CUST01690,2026-01-18,Shipped,173.88,Apple Pay
ORD000307,CUST04672,2026-06-30,Shipped,79.63,Apple Pay
ORD000308,CUST04619,2026-01-22,Processing,44.34,Debit Card
ORD000309,CUST00726,2026-03-09,Shipped,159.57,Apple Pay
ORD000310,CUST00162,2026-07-22,Processing,25.93,Apple Pay
ORD000311,CUST00659,2026-06-12,Completed,37.7,Debit Card
ORD000312,CUST02898,2026-07-22,Processing,16.9,Credit Card
ORD000313,CUST04620,2026-04-08,Completed,182.61,Google Pay
ORD000314,CUST04100,2026-01-09,Completed,70.1,Apple Pay
ORD000315,CUST02543,2026-06-08,Shipped,52.07,Credit Card
ORD000316,CUST01579,2026-08-12,Completed,143.66,Google Pay
ORD000317,CUST03995,2026-06-20,Shipped,40.21,Debit Card
ORD000318,CUST01075,2026-03-16,Cancelled,44.13,Apple Pay
ORD000319,CUST03206,2026-01-17,Cancelled,129.71,Apple Pay
ORD000320,CUST04045,2026-02-20,Cancelled,40.29,PayPal
ORD000321,CUST03434,2026-07-13,Completed,42.94,Apple Pay
ORD000322,CUST00878,2026-01-24,Cancelled,63.24,Apple Pay
ORD000323,CUST01092,2026-05-05,Processing,76.59,Credit Card
ORD000324,CUST03060,2026-01-15,Cancelled,101.04,Credit Card
ORD000325,CUST01675,2026-06-05,Completed,51.98,Apple Pay
ORD000326,CUST01609,2026-05-11,Shipped,18.68,Google Pay
ORD000327,CUST02827,2026-06-06,Completed,77.3,Debit Card
ORD000328,CUST01218,2026-02-21,Shipped,69.58,Credit Card
ORD000329,CUST03053,2026-02-23,Completed,68.27,Google Pay
ORD000330,CUST00314,2026-02-27,Processing,35.55,Apple Pay
ORD000331,CUST00730,2026-02-14,Shipped,16.21,PayPal
ORD000332,CUST04040,2026-04-28,Completed,59.01,Credit Card
ORD000333,CUST00384,2026-03-18,Processing,31.08,Credit Card
ORD000334,CUST01813,2026-02-19,Shipped,89.11,PayPal
ORD000335,CUST02325,2026-01-22,Processing,101.9,Apple Pay
ORD000336,CUST03430,2026-02-21,Completed,20.53,Credit Card
ORD000337,CUST02746,2026-06-30,Processing,36.93,Apple Pay
ORD000338,CUST01865,2026-01-31,Completed,199.0,Google Pay
ORD000339,CUST03292,2026-03-12,Shipped,44.2,Credit Card
ORD000340,CUST04847,2026-06-25,Completed,69.27,Apple Pay
ORD000341,CUST00228,2026-03-31,Processing,111.63,Google Pay
ORD000342,CUST02065,2026-01-31,Completed,70.53,Credit Card
ORD000343,CUST00012,2026-04-12,Completed,129.37,Debit Card
ORD000344,CUST01523,2026-05-12,Completed,116.18,Apple Pay
ORD000345,CUST00692,2026-06-12,Completed,153.15,Google Pay
ORD000346,CUST03706,2026-04-07,Completed,68.13,Debit Card
ORD000347,CUST01740,2026-03-08,Processing,45.52,Apple Pay
ORD000348,CUST01526,2026-07-11,Completed,24.01,Credit Card
ORD000349,CUST00070,2026-07-30,Completed,80.96,Apple Pay
ORD000350,CUST02249,2026-05-17,Processing,144.31,Google Pay
ORD000351,CUST03124,2026-06-23,Cancelled,35.93,Credit Card
ORD000352,CUST04725,2026-03-24,Completed,38.84,Credit Card
ORD000353,CUST03331,2026-07-03,Processing,46.91,Credit Card
ORD000354,CUST01288,2026-02-25,Completed,32.08,PayPal
ORD000355,CUST00576,2026-07-30,Processing,66.99,Google Pay
ORD000356,CUST02173,2026-01-26,Completed,42.4,Debit Card
ORD000357,CUST04955,2026-03-01,Completed,26.22,Credit Card
ORD000358,CUST00745,2026-05-08,Shipped,33.77,Google Pay
ORD000359,CUST02528,2026-07-24,Completed,165.52,PayPal
ORD000360,CUST03074,2026-08-02,Cancelled,65.3,PayPal
ORD000361,CUST04211,2026-05-07,Completed,166.47,Credit Card
ORD000362,CUST04577,2026-03-13,Completed,41.32,Google Pay
ORD000363,CUST01025,2026-08-04,Completed,21.9,PayPal
ORD000364,CUST00942,2026-03-31,Cancelled,49.84,Credit Card
ORD000365,CUST00768,2026-06-25,Completed,190.76,Apple Pay
ORD000366,CUST02439,2026-02-27,Shipped,11.86,Apple Pay
ORD000367,CUST00834,2026-03-04,Completed,17.82,Apple Pay
ORD000368,CUST02191,2026-04-30,Completed,49.02,Debit Card
ORD000369,CUST00628,2026-07-05,Cancelled,126.39,Google Pay
ORD000370,CUST00377,2026-05-11,Completed,29.1,Apple Pay
ORD000371,CUST03887,2026-05-15,Processing,68.03,PayPal
ORD000372,CUST00090,2026-06-29,Completed,57.94,Debit Card
ORD000373,CUST02856,2026-04-24,Completed,139.28,Apple Pay
ORD000374,CUST01066,2026-07-09,Completed,304.94,Credit Card
ORD000375,CUST01059,2026-01-02,Processing,34.78,PayPal
ORD000376,CUST03060,2026-06-10,Shipped,47.02,Debit Card
ORD000377,CUST04073,2026-05-20,Completed,57.57,Debit Card
ORD000378,CUST02601,2026-02-17,Completed,34.01,PayPal
ORD000379,CUST04220,2026-07-23,Completed,208.56,Apple Pay
ORD000380,CUST02105,2026-02-22,Completed,27.63,Credit Card
ORD000381,CUST02854,2026-07-21,Completed,145.42,Credit Card
ORD000382,CUST02656,2026-05-05,Completed,44.72,Credit Card
ORD000383,CUST01516,2026-06-18,Shipped,57.79,Debit Card
ORD000384,CUST03018,2026-04-27,Completed,65.71,Apple Pay
ORD000385,CUST04148,2026-04-01,Processing,43.08,PayPal
ORD000386,CUST01574,2026-03-23,Processing,104.08,Google Pay
ORD000387,CUST02537,2026-07-05,Completed,81.42,Credit Card
ORD000388,CUST03927,2026-03-09,Processing,176.29,PayPal
ORD000389,CUST02053,2026-05-31,Completed,94.33,PayPal
ORD000390,CUST03797,2026-08-01,Processing,26.08,Credit Card
ORD000391,CUST00632,2026-06-13,Shipped,54.23,Google Pay
ORD000392,CUST01862,2026-04-04,Cancelled,182.51,Debit Card
ORD000393,CUST03953,2026-08-01,Completed,40.5,Debit Card
ORD000394,CUST01233,2026-08-03,Cancelled,170.73,Apple Pay
ORD000395,CUST02265,2026-05-29,Completed,100.01,Debit Card
ORD000396,CUST02048,2026-03-13,Completed,105.9,PayPal
ORD000397,CUST00536,2026-04-13,Processing,13.51,Debit Card
ORD000398,CUST03534,2026-07-02,Processing,81.0,Apple Pay
ORD000399,CUST04826,2026-07-03,Completed,258.61,PayPal
ORD000400,CUST03098,2026-01-13,Completed,32.8,PayPal
ORD000401,CUST01276,2026-05-04,Completed,183.77,Google Pay
ORD000402,CUST03074,2026-05-30,Completed,68.66,Credit Card
ORD000403,CUST01026,2026-01-07,Shipped,34.36,Credit Card
ORD000404,CUST02052,2026-01-24,Completed,49.41,Credit Card
ORD000405,CUST03622,2026-07-08,Completed,18.26,Apple Pay
ORD000406,CUST04564,2026-05-13,Completed,62.04,Debit Card
ORD000407,CUST00201,2026-02-19,Completed,80.51,Credit Card
ORD000408,CUST04404,2026-07-09,Completed,315.89,Debit Card
ORD000409,CUST03324,2026-07-02,Completed,79.07,Credit Card
ORD000410,CUST03359,2026-01-26,Shipped,164.29,Google Pay
ORD000411,CUST02972,2026-05-18,Cancelled,29.99,Debit Card
ORD000412,CUST04979,2026-01-11,Completed,53.12,Apple Pay
ORD000413,CUST00586,2026-02-09,Processing,75.4,Apple Pay
ORD000414,CUST03346,2026-04-12,Cancelled,33.02,Debit Card
ORD000415,CUST03855,2026-01-11,Completed,51.82,Apple Pay
